filepath,sr,duration,median_f0,mean_f0,spec_cent_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S11.wav,16000,1.925625,286.1883606623613,247.29771518246133,1966.8056037715196,-487.2685241699219,72.67717742919922,-20.0194149017334,9.120244979858398,-18.705665588378906,2.202561855316162,-25.234468460083008,-4.425537586212158,-16.093862533569336,-18.38992691040039,-21.291624069213867,-10.261204719543457,-9.515295028686523,117.64645385742188,42.86190414428711,24.705324172973633,13.214577674865723,17.08820152282715,6.761805534362793,19.10177230834961,10.646510124206543,12.308740615844727,7.853552341461182,9.38062858581543,5.733259201049805,10.121857643127441
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S13.wav,16000,1.7149375,254.17759331190004,256.02428441636545,1571.2662467604769,-465.6618957519531,98.17963409423828,-7.740533828735352,0.850004255771637,-32.76881408691406,-1.2410383224487305,-21.13568878173828,-16.681190490722656,-16.656681060791016,-12.756214141845703,-20.474580764770508,-13.32952880859375,-12.815141677856445,114.25044250488281,35.25748825073242,38.00440216064453,22.327486038208008,22.396696090698242,5.144747734069824,9.854628562927246,11.536994934082031,7.45052433013916,5.313479423522949,6.51378059387207,7.374099254608154,7.1450605392456055
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S14.wav,16000,1.785125,246.23051100335562,258.10132123405896,1715.574036008931,-469.9914245605469,85.49225616455078,-12.190701484680176,9.672136306762695,-24.221649169921875,3.149639129638672,-18.74428367614746,-15.495341300964355,-19.723373413085938,-19.427547454833984,-23.045635223388672,-12.017643928527832,-14.22259521484375,109.61222076416016,44.86988830566406,26.394596099853516,16.771419525146484,15.10879898071289,9.92751407623291,10.019442558288574,11.987542152404785,11.949256896972656,8.270689010620117,7.186240196228027,12.77214527130127,9.314643859863281
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S2.wav,16000,1.37625,260.1187129259726,267.5040194643965,1603.706856496279,-491.16619873046875,85.54271697998047,-17.405000686645508,19.741615295410156,-17.293779373168945,-11.835785865783691,-23.45977210998535,-6.485136032104492,-22.125478744506836,-21.198951721191406,-15.90966796875,-10.252364158630371,-17.436128616333008,95.56062316894531,34.81893539428711,17.306081771850586,15.625181198120117,26.917827606201172,8.636784553527832,12.893181800842285,10.196401596069336,9.952510833740234,6.703952312469482,6.843857765197754,5.195103645324707,5.947605133056641
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S21.wav,16000,1.8026875,264.6655079380657,261.5968025596822,1787.6446866803406,-433.6929931640625,84.80752563476562,-33.905643463134766,-3.5341081619262695,-34.51254653930664,2.3928282260894775,-28.996746063232422,1.2497926950454712,-7.6546549797058105,-13.231855392456055,-21.923826217651367,-16.30457878112793,-13.881058692932129,138.78981018066406,29.743255615234375,34.07780456542969,14.877175331115723,20.89083480834961,9.816319465637207,14.312787055969238,8.178610801696777,6.9563140869140625,8.227712631225586,7.446102142333984,7.976609706878662,6.784855842590332
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S3.wav,16000,1.4641875,252.71363809934766,261.21974693818294,1531.405238415526,-441.075439453125,101.48111724853516,-20.694242477416992,-19.65415382385254,-28.90717887878418,2.556657314300537,-24.57813835144043,-2.7547528743743896,-16.126544952392578,-12.973869323730469,-17.687965393066406,-17.862363815307617,-17.9728946685791,97.638427734375,35.8306770324707,33.13591766357422,23.538036346435547,17.139429092407227,10.328750610351562,10.668218612670898,9.068802833557129,8.056785583496094,5.956071376800537,7.131185531616211,8.231776237487793,7.790814399719238
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S6.wav,16000,1.919125,293.6647679174075,285.74820559493605,1775.15375853932,-427.9706726074219,85.65910339355469,-25.5361328125,-9.016379356384277,-28.11072540283203,5.617208957672119,-31.20258903503418,-8.863189697265625,-11.934065818786621,-17.494401931762695,-20.798006057739258,-17.687469482421875,-15.579957962036133,93.09754180908203,40.69273376464844,36.61615753173828,15.262619018554688,14.920703887939453,12.63674545288086,12.415868759155273,11.144575119018555,12.317139625549316,7.618977069854736,6.978697776794434,7.458781719207764,8.316774368286133
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S9.wav,16000,1.6798125,251.2581146483697,256.62133630086896,1993.9026776805415,-491.04071044921875,67.94637298583984,-10.70712947845459,9.195716857910156,-25.578699111938477,0.3228937089443207,-22.954853057861328,-5.43622350692749,-17.384092330932617,-15.746012687683105,-22.207042694091797,-14.765316009521484,-9.835714340209961,115.79528045654297,36.02477264404297,30.051057815551758,26.81316375732422,17.07874298095703,11.941521644592285,14.361247062683105,10.550589561462402,7.343591690063477,8.411211013793945,7.389188289642334,8.652569770812988,5.618127822875977
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S11.wav,16000,2.241,320.24370022528115,315.21700613384655,1476.847064406307,-579.0662231445312,106.12722778320312,-5.239248275756836,1.386509895324707,-11.922103881835938,-2.6444427967071533,-23.174163818359375,-5.466555118560791,-16.44221305847168,-12.757362365722656,-21.370878219604492,-13.16828727722168,-8.545738220214844,84.10733032226562,32.35643005371094,24.966941833496094,11.456391334533691,9.40117359161377,11.877628326416016,13.374728202819824,8.57283878326416,8.341525077819824,7.898095607757568,8.01439094543457,8.62502384185791,5.525973320007324
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S13.wav,16000,2.3630625,279.5958358166956,281.34138047210945,1605.1518489817324,-582.7847290039062,98.73765563964844,-2.155895709991455,3.8444631099700928,-12.313737869262695,-1.8151366710662842,-17.62006378173828,-4.70329475402832,-17.550254821777344,-8.68333911895752,-18.951786041259766,-14.16927719116211,-8.322031021118164,89.21443939208984,31.051071166992188,26.838394165039062,20.41710662841797,11.980027198791504,12.638636589050293,13.152629852294922,7.997538089752197,10.302023887634277,6.084651947021484,7.668303489685059,10.158700942993164,7.120602607727051
