filepath,relative_path,dataset,category,speaker,location,date,segment
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S11.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S11.wav,minimal_pairs,Lexical,KM,FS,19_04,S11
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S13.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S13.wav,minimal_pairs,Lexical,KM,FS,19_04,S13
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S14.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S14.wav,minimal_pairs,Lexical,KM,FS,19_04,S14
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S2.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S2.wav,minimal_pairs,Lexical,KM,FS,19_04,S2
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S21.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S21.wav,minimal_pairs,Lexical,KM,FS,19_04,S21
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S3.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S3.wav,minimal_pairs,Lexical,KM,FS,19_04,S3
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S6.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S6.wav,minimal_pairs,Lexical,KM,FS,19_04,S6
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S9.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KM_FS_19_04_S9.wav,minimal_pairs,Lexical,KM,FS,19_04,S9
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S11.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S11.wav,minimal_pairs,Lexical,KN,FS,23_2021,S11
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S13.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S13.wav,minimal_pairs,Lexical,KN,FS,23_2021,S13
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S14.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S14.wav,minimal_pairs,Lexical,KN,FS,23_2021,S14
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S2.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S2.wav,minimal_pairs,Lexical,KN,FS,23_2021,S2
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S21.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S21.wav,minimal_pairs,Lexical,KN,FS,23_2021,S21
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S3.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S3.wav,minimal_pairs,Lexical,KN,FS,23_2021,S3
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S6.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S6.wav,minimal_pairs,Lexical,KN,FS,23_2021,S6
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S9.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S9.wav,minimal_pairs,Lexical,KN,FS,23_2021,S9
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S11.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S11.wav,minimal_pairs,Lexical,LL,SW,08_04_2021,S11
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S13.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S13.wav,minimal_pairs,Lexical,LL,SW,08_04_2021,S13
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S14.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S14.wav,minimal_pairs,Lexical,LL,SW,08_04_2021,S14
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S2.wav,Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S2.wav,minimal_pairs,Lexical,LL,SW,08_04_2021,S2
